org_id,name,band,callsign,tagline,network_name,eformat,estatus,music_only
1717,KUAS-FM,FM,KUAS,,,Public Radio,1,False
12,KOFA,AM,KOFA,Border Radio,,Public Radio,1,False
896,KUAT,FM,KUAT,Southern Arizona's Classical Music Station,,Classical,12,True
433,WHYY,FM,WHYY,"Public Media serving Southeastern Pennsylvania, Delaware, South Jersey and the world",WHYY,,1,False
360,90.5 WESA,FM,WESA,Pittsburgh's NPR News Station,,Public Radio,1,False
442,WITF,FM,WITF,Your Home for NPR News and All Things Regional,,Public Radio,1,False
715,XPN,FM,WXPN,Vinyl at heart,,Adult Album Alternative,1,True
678,WVIA,FM,WVIA,Your Arts and Information Station,WVIA,,1,False
584,WPSU,FM,WPSU,Penn State Public Media,WPSU,,1,False
597,WRTI Your Classical and Jazz Source,FM,WRTI,Your Member-Supported Classical & Jazz Source,WRTI Your Classical and Jazz Source,,1,False
359,WDIY,FM,WDIY,Lehigh Valley Public Radio,,Public Radio,1,False
592,WQLN,FM,WQLN,Learning Brought To Life,WQLN,,1,False
717,XPN,FM,WXPH,It's All About the Music,,Adult Album Alternative,1,True
1044,WWFM The Classical Network,FM,WWPJ,,,Classical,1,True
1720,WLVR News,FM,WLVR,Your Local NPR News Source,,Public Radio,1,False
1719,WVBU-FM,FM,WVBU,,,College,1,True
724,WYEP,FM,WYEP,Where the Music Matters,,Adult Album Alternative,1,True
33,CPR News,FM,KCFR,From Colorado Public Radio,CPR News,,1,False
223,KUNC,FM,KUNC,Community Radio for Northern Colorado,,Public Radio,1,False
154,91.5 KRCC,FM,KRCC,Southern Colorado's NPR station.,,Public Radio,1,False
192,Four Corners Public Radio,FM,KSUT,Four Corners Public Radio,,Public Radio,1,False
747,Aspen Public Radio ,FM,KAJX,NPR News for Aspen and the Valley,,Public Radio,1,False
254,KUVO ,FM,KUVO,"Community, Culture, Music",,Jazz,1,True
752,KVNF - Mountain Grown Community Radio,FM,KVNF, Mountain Grown Community Radio,,Public Radio,1,False
749,KDNK,FM,KDNK,Carbondale Community Access Radio,,Public Radio,1,False
1528,The Colorado Sound,FM,KJAC,The Colorado Sound,,Adult Album Alternative,1,True
751,KBUT,FM,KBUT,Community Radio for the Gunnison Valley,,Public Radio,1,False
847,Four Corners Public Radio,FM,KUTE,Four Corners Public Radio,Four Corners Public Radio,,1,False
750,KSJD,FM,KSJD,Ideas. Stories. Community.,,Public Radio,1,False
1534,KDNG-FM,FM,KDNG,,,Public Radio,1,False
1410,High Plains Public Radio,FM,KCSE,"In touch with the world, at home on the High Plains.",High Plains Public Radio,,1,False
1438,KVJZ-FM,FM,KVJZ,,,Jazz,1,True
1507,Indie 102.3,FM,KVOQ,Music Matters,,Adult Album Alternative,1,True
1515,Indie 102.3,FM,KVXO,Music Matters,,Classical,1,True
1529,KCCS-FM,FM,KCCS,,,Public Radio,1,False
1533,KPGS-FM,FM,KPGS,,,Public Radio,1,False
1566,KXRE-AM,AM,KXRE,,,Public Radio,1,False
35,CPR Classical,FM,KCFP,,,Classical,1,True
40,CPR Classical,FM,KPRU,,,Classical,1,True
41,CPR Classical,FM,KVOD,From Colorado Public Radio,,Classical,1,True
970,CPR Classical,FM,KVOV,,,Classical,1,True
558,Iowa Public Radio News,FM,WOI,Iowa Public Radio enriches the civic and cultural life in Iowa through high quality news and cultural programming.,Iowa Public Radio News,,1,False
277,KWIT,FM,KWIT,A station for everyone,,Public Radio,1,False
1421,Classical MPR,FM,KLCD,Member supported,,Classical,1,True
115,MPR News,FM,KLNI,Discovering what matters. Member supported.,MPR News,,1,False
1291,Iowa Public Radio Classical,FM,KICP,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Classical,1,True
1292,Iowa Public Radio Classical,FM,KICL,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Classical,1,True
1378,Iowa Public Radio Classical,FM,KICG,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Classical,1,True
1106,Iowa Public Radio Classical,FM,KICW,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Classical,1,True
226,Iowa Public Radio Studio One,FM,KNSM,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Public Radio,15,False
1029,Iowa Public Radio,FM,KSUI,Iowa Public Radio enriches the civic and cultural life in Iowa through high quality news and cultural programming.,,Classical,15,True
1020,Iowa Public Radio Classical,FM,KHKE,Iowa Public Radio enriches the civic and cultural life in Iowa through high quality news and cultural programming.,,Classical,15,True
987,Iowa Public Radio Classical,FM,KICJ,"Iowa Public Radio informs, enriches and engages Iowans through high quality news and cultural programming.",,Classical,15,True
